question,expected_answer,actual_answer,latency_seconds
What is the meal reimbursement limit for domestic business meals?,₱800 per person,"The standard reimbursement limit for domestic business meals is ₱800 per person. This is stated in POL-006-expense-reimbursement-policy.md under the ""Meal Limits"" section.",0.857
How are foreign currency expenses reimbursed?,Converted to PHP using the company's financial institution exchange rate,Foreign currency expenses incurred in international business are reimbursed by converting them to Philippine Pesos (PHP) using the exchange rate applied by the company's financial institution at the time of processing. (Source: POL-006-expense-reimbursement-policy.md),0.881
Who approves domestic travel?,Immediate Manager,"According to POL-007-travel-policy.md, domestic travel requires approval from the Immediate Manager.",0.863
Who approves international travel?,Immediate Manager and Department Head,"International travel requires approval from the Immediate Manager and the Department Head. Additionally, international travel exceeding seven (7) calendar days requires executive approval. 

(POL-007-travel-policy.md)",3.927
Who owns company-issued equipment?,"InterCloud Solutions Philippines, Inc.","According to POL-008 Equipment and Asset Policy, all company-issued assets remain the property of InterCloud Solutions. (Source: POL-008-equipment-and-asset-policy.md, Section 3. Company-Owned Assets)",4.903
How quickly must lost equipment be reported?,Within 24 hours of discovery,"According to POL-008-equipment-and-asset-policy.md, employees should report losses within twenty-four (24) hours of discovery.",4.891
How long is the probationary period?,Up to 6 months,"The probationary period is up to six (6) months. 

(POL-009-performance-management-policy.md)",3.969
How often are formal performance reviews conducted?,Twice annually,"The company conducts formal performance reviews twice annually, including Mid-Year Review and Annual Review. Managers may also conduct additional reviews as needed. (Source: POL-009-performance-management-policy.md, Section 6: Performance Review Cycle)",5.226
What are the performance rating levels?,"Exceptional, Exceeds Expectations, Meets Expectations, Needs Improvement, Unsatisfactory","According to POL-009-performance-management-policy.md, the company uses the following performance ratings:

1. Exceptional
2. Exceeds Expectations
3. Meets Expectations
4. Needs Improvement
5. Unsatisfactory",3.991
What are the stages of the hiring process?,"HR Screening, Hiring Manager Interview, Technical/Functional Assessment, Final Interview","The standard hiring process generally includes the following stages:

1. HR Screening (Initial qualification review)
2. Hiring Manager Interview (Assessment of role suitability)
3. Technical or Functional Assessment (Evaluation of job-specific capabilities when applicable)
4. Final Interview (Assessment of organizational fit and overall readiness)

(POL-010-recruitment-and-hiring-policy.md)",5.069
Who can approve employment offers?,"Hiring Manager, Department Head, and People & Culture","According to POL-010-recruitment-and-hiring-policy.md, employment offers must be approved by:

* Hiring Manager
* Department Head
* People & Culture",4.922
What is the annual learning budget?,"Up to ₱30,000 per calendar year","According to POL-011-learning-and-development-policy.md, regular employees are eligible for an annual learning budget of up to ₱30,000 per calendar year.",4.811
Does the learning budget carry over?,No,I could not find that information in the policy documents.,3.796
How many Study Leave days are available?,Up to 3 working days per calendar year,"According to POL-011-learning-and-development-policy.md, employees are entitled to up to three (3) working days per calendar year for Study Leave.",4.866
"What happens if an employee resigns within 90 days after receiving training worth more than ₱20,000?",They may be required to reimburse a prorated portion,"Employees who voluntarily resign within ninety (90) calendar days of receiving company-funded training exceeding ₱20,000 may be required to reimburse a prorated portion of training expenses (POL-011-learning-and-development-policy.md).",4.9
What skills are identified as strategic priorities?,"AI, Cloud Computing, Software Architecture, Cybersecurity, Data Engineering, Project Management, and Leadership","According to POL-011-learning-and-development-policy.md, the company may prioritize investment in the following skills that support strategic objectives:

1. Artificial Intelligence
2. Cloud Computing
3. Software Architecture
4. Cybersecurity
5. Data Engineering
6. Project Management
7. Leadership",4.018
What is the maximum gift value an employee may accept without written approval?,"₱5,000","According to POL-012-code-of-conduct.md, the maximum gift value an employee may accept without written approval from their Department Head is ₱5,000.",4.733
Are cash gifts permitted?,No,"No, cash gifts are prohibited. (Source: POL-012-code-of-conduct.md, Section 12. Gifts and Business Courtesies)",4.915
